심사진행상태,출원일자,발명의명칭,출원인
등록결정(일반),1993.10.21,정전방전보호회로의트랜지스터및그제조방법(A TRANSISTOR FOR ESD PROTECTION CIRCUIT AND ITS FABRICATING METHOD),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1993.11.26,모스 트랜지스터 및 그 제조방법(MOS TRANSISTOR AND FABRICATION METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...)
원결정유지(심사전치),2007.05.09,반도체 소자의 트랜지스터 및 그 제조 방법(TRANSISTOR IN SEMICONDUCTOR DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(심사전치후),1995.11.13,정전기방지기능을갖는트랜지스터및그제조방법과이를이용한데이타출력버퍼(TRANSISTOR PROTECTING ELECTRO-STATIC ELECTRICITY AND OUTPUT BUFFER USING IT),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1995.11.03,박막트랜지스터제조방법(A FABRICATION METHOD OF THIN FILM TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.12.26,더블 게이트 구조를 갖는 에스·오·아이 트랜지스터 및 그의제조방법(SOI TRANSISTOR WITH DOUBLE GATE STRUCTURE AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.06.29,이중막 실리콘웨이퍼를 이용한 금속-산화막-반도체 전계효과트랜지스터 제조방법(METAL-OXIDE FILM-SEMICONDUCTOR FIELD EFFECT TRANSISTOR PRODUCTION METHOD USING DOUBLE-FILMED SILICON WAFER),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.06.05,씨모스 트랜지스터의 제조 방법(METHOD FOR FABRICATING CMOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1996.12.20,트랜지스터 및 그 제조방법(TRANSISTOR AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1995.06.20,반도체소자의트랜지스터제조방법(METHOD OF FABRICATING TRANSISTOR OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1995.12.11,박막트랜지스터의자기정렬노광방법(SELF-ALIGNMENT EXPOSING METHOD OF THIN FILM TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
,2021.01.12,수직형 트랜지스터 및 그 제조 방법(VERTICAL TRANSISTOR AND METHOD FOR FABRICATING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
,2017.02.20,병렬 연결된 가변 저항기 및 트랜지스터를 가진 시냅스를 포함하는 뉴로모픽 소자(Neuromorphic Device Including Synapse Having Variable Resistor and Transistor Which Connected in Parallel with Each Other),에스케이하이닉스 주식회사(경기도 이천시...)
,2020.10.16,3차원 구조의 트랜지스터 소자를 구비하는 반도체 장치(semiconductor device hainvg a transistor device of a three-dimensional structure),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2017.02.20,트랜지스터 제조 방법 및 이를 이용한 링 오실레이터 제조방법(Method of Manufacturing Transistor and Method of Manufacturing Ring Oscillator Using The Same),에스케이하이닉스 주식회사(경기도 이천시...)
,2020.08.18,패스 트랜지스터들을 구비하는 메모리 장치(MEMORY DEVICE WITH PASS TRANSISTORS),에스케이하이닉스 주식회사(경기도 이천시...)
,2020.08.12,MOS 트랜지스터의 열화를 방지하는 전자장치(ELECTRONIC DEVICE FOR PREVENTING DEGRADATION OF MOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1997.07.08,"트랜지스터 및 그 제조 방법(TRANSISTOR AND A METHOD OF MANUFACTURING THE SAME, PARTICULARLY FOR INCREASING THE OPERATING SPEED OF A LARGE SCALE INTEGRATED DEVICE BY FORMING A GATE ELECTRODE WITH THE SECOND POLYCRYSTAL SILICON SIDE WALL)",에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2016.02.16,트랜지스터를 포함하는 전자 장치 및 그 제조 방법(ELECTRONIC DEVICE INCLUDING TRANSISTOR AND METHOD FOR FABRICATING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
,2015.12.30,"핀 트랜지스터, 핀 트랜지스터의 제조 방법 및 이를 포함하는 전자 장치(FIN TRANSISTOR, METHOD FOR FABRICATING THE SAME AND ELECTORNIC DEVICE INCLUDING THE SAME)",에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2017.04.04,두 개의 트랜지스터들 및 하나의 가변 저항 소자를 가진 시냅스 및 상기 시냅스를 포함하는 시냅스 어레이(Synapse Having Two Transistors and One Variable Resistive Device and a Synapse Array Including the Synapse),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2017.06.05,다수의 강유전체 전계 효과 트랜지스터들을 가진 시냅스를 포함하는 뉴로모픽 소자의 시냅스 어레이(Synapse Array of a Neuromorphic Device Including a Synapse Array Having a Plurality of Ferro-electricity Field Effect Transistors),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2013.11.01,트랜지스터 및 이를 포함하는 반도체 장치(TRANSISTOR AND SEMICONDUCTOR DEVICE INCLUDING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2014.02.14,"트랜지스터, 반도체 장치 및 그 제조 방법(TRANSISTOR, SEMICONDUCTOR DEVICE AND METHOD OF MANUFACTURING THE SAME)",에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2013.02.27,"트랜지스터, 이를 구비하는 가변 저항 메모리 장치 및 그의 제조방법(Transistor, Variable Memory Device and Method of Manufacturing The Same)",에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2012.01.12,수직형 트랜지스터를 포함하는 반도체 소자 및 그 형성방법(SEMICONDUCTOR DEVICE COMPRISING VERTICAL TRANSISTOR AND METHOD FOR FORMING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2011.10.31,수직게이트 트랜지스터를 구비한 반도체장치 제조 방법(METHOD FOR MANUFACTURING SEMICONDUCTOR DEVICE WITH VERTICAL GATE TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
포기(등록료 미납),2011.05.11,반도체 소자의 센스앰프 트랜지스터 및 그 제조 방법(Sens-amp transistor of semiconductor device and manufacturing method of the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2011.04.29,수직 채널 트랜지스터를 구비한 반도체 장치 제조방법(METHOD FABRICATING SEMICONDUCTOR DEVICE WITH VERTICAL CHANNEL TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2011.02.09,반도체 메모리 소자의 트랜지스터 구조(TRANSISTOR STRUCTURE OF SEMICONDUCTOR MEMORY),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2012.02.06,드라이버 트랜지스터를 구비하는 반도체 집적 회로 장치(Semiconductor Integrated Circuit Having Driving Transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2010.11.29,수직형 트랜지스터의 매몰 비트라인 형성방법(Method for fabricating buried bit line of vertical transistor),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),2010.11.16,매립형 금속선 및 트랜지스터의 매립형 게이트 형성 방법(Methods for forming buried metal line and bureid gate of transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2010.10.29,MOS 트랜지스터를 포함하는 반도체 소자의 레이아웃 구조 및 그 제조 방법(Layout Structure Of A Semiconductor Apparatus comprising MOS Transistor And Fabricating of The Same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2010.11.15,MOS 트랜지스터를 포함하는 반도체 장치(Semiconductor Apparatus Including MOS Transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2010.11.15,MOS 트랜지스터를 포함하는 반도체 장치(Semiconductor Apparatus Including MOS Transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2010.04.30,하이브리드 산화를 이용한 트랜지스터의 게이트 유전층 형성 방법(Method for fabricating gate oxide layer of transistor by using hybride oxidation),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2009.05.28,트랜지스터회로(TRANSISTOR CIRCUIT),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2009.06.15,브레이크다운 특성 개선을 위한 트랜지스터 제조방법(Method of fabricating transistor for improving breakdown characteristics),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2009.05.14,"클럭의 주파수, 트랜지스터의 스큐, 및 구동 전압 레벨을 판별하여 동작하는 반도체 메모리 장치(Semiconductor Memory Apparatus Driven according to detecting Frequency of Clock, Skew of Transistor, and Driving Voltage level)",에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2009.05.07,고전압 트랜지스터 및 그 제조 방법(High voltage transistor and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.11.17,고전압 트랜지스터 및 이를 포함하는 비휘발성 메모리 소자의 고전압 스위치 회로(HIGH VOLTAGE TRANSISTOR AND HIGH VOLTAGE SWITCH CIRCUIT OF NON-VOLATILE MEMORY DEVICE HAVING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.09.05,트랜지스터를 구비하는 반도체 소자 및 그 제조 방법(SEMICONDUCTOR DEVICE WITH TRANSISTOR AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.09.04,새들 핀 트랜지스터를 구비하는 반도체 소자의 제조방법(Method for fabricating semiconductor device having saddle Fin transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.08.01,트랜지스터의 제조 방법(Method for manufacturing of transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.06.30,트랜지스터의 레이아웃 방법(A layout method for transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.06.27,반도체소자의 트랜지스터 및 그 형성방법(TRANSISTOR OF SEMICONDUCTOR DEVICE and METHOD FOR FORMING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.06.30,고전압 트랜지스터의 제조 방법(Method for manufacturing of high voltage transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.06.30,모스 트랜지스터 및 그의 형성 방법(MOS transistor and method for manufacturing of the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.06.26,새들형 핀 트랜지스터 및 그 제조 방법(Saddle fin transistor and method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.05.28,반도체 소자의 트랜지스터 제조 방법(Method for Manufacturing Transistor of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.04.11,트랜지스터 레이아웃 방법(A method of layout for transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.04.02,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.04.02,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.03.13,플로팅 바디 트랜지스터를 갖는 반도체 소자 및 그 제조방법(Semiconductor having floating body transistor and method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.02.26,트랜지스터(TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.02.15,트랜지스터를 이용한 퓨즈(FUSE USING TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.01.30,수직형 트랜지스터 및 그의 제조방법(Vertical transistor and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2008.01.09,반도체 소자의 트랜지스터 형성 방법(METHOD FOR FORMING TRANSISTOR IN SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.12.27,수직형 트랜지스터의 활성영역 형성방법(Method for forming active region of vertical type transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.12.27,반도체 소자의 트랜지스터 제조 방법(Method for Manufacturing Transistor of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.12.24,반도체 소자의 트랜지스터 제조 방법(METHOD FOR MANUFACTURING TRANSISTOR IN SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.11.27,수직형 트랜지스터 및 그의 제조방법(Vertical transistor and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.11.09,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.10.29,반도체 소자의 트랜지스터 형성방법(Method for fabricating transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.10.29,반도체 소자의 트랜지스터 및 그 형성방법(PMOS TRANSISTOR of SEMICONDUCTOR DEVICE and METHOD FOR FORMING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.10.29,반도체 소자의 트랜지스터 형성방법(Method for fabricating transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.10.29,반도체 소자의 트랜지스터 제조 방법(Method for Manufacturing Transistor of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.10.09,반도체 소자의 트랜지스터 및 그 제조 방법(TRANSISTOR IN SEMICONDUCTOR DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),2007.09.27,반도체 소자의 트랜지스터 및 그 제조 방법(TRANSISTOR IN SEMICONDUCTOR DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.09.07,반도체 소자의 트랜지스터 제조 방법(METHOD FOR MANUFACTURING TRANSISTOR IN SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.08.27,반도체 소자의 트랜지스터 및 그 제조 방법(TRANSISTOR IN SEMICONDUCTOR DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.08.24,반도체 소자의 트랜지스터 및 그 제조 방법(TRANSISTOR IN SEMICONDUCTOR DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.08.20,반도체 소자의 트랜지스터 형성 방법(Method for Forming Transistor of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),2007.08.14,반도체 소자의 트랜지스터 제조 방법(METHOD FOR MANUFACTURING TRANSISTOR IN SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.07.16,고전압 스위칭 소자 및 그의 제조 방법(High voltage transistor and method of fabricating the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.07.10,이중 캡핑막을 갖는 트랜지스터 제조방법(Method for manufacturing transistor having double capping layer),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.07.02,다면 채널을 갖는 트랜지스터 형성방법(METHOD FOR FORMING A TRANSISTOR WITH MULTI-PLANE CHANNEL),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.06.29,트랜지스터 제조방법(Method of fabricating transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.06.28,피모스 트랜지스터 제조방법(METHOD FOR FABRICATING PMOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.06.29,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.06.29,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.05.09,반도체 소자의 트랜지스터 및 그 제조 방법(TRANSISTOR IN SEMICONDUCTOR DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.05.09,반도체 소자의 트랜지스터 및 그 제조 방법(TRANSISTOR IN SEMICONDUCTOR DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.04.10,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.04.06,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.04.06,반도체소자의 트랜지스터 형성방법(Method for forming transistors of semiconductor devices),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.03.28,반도체 소자의 트랜지스터 및 그의 형성방법(TRANSISTOR OF SEMICONDUCTOR DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.03.30,반도체 소자의 트랜지스터 제조 방법(Method for Manufacturing Transistor of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.03.30,트랜지스터 및 그의 제조방법(Transistor and Method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.03.19,트랜지스터 형성 방법(Method for manufacturing a transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.03.15,반도체 소자의 트랜지스터 제조방법(Method of manufacturing a transistor in semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.02.08,반도체 소자의 트랜지스터 형성방법(METHOD FOR FORMING TRANSISTOR OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2007.01.30,낸드 플래시 메모리 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in NAND flash memory device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.12.28,낸드 플래쉬 메모리소자의 고전압 트랜지스터 제조방법(Method for fabricating high voltage transistor of NAND flash memory device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.12.27,트랜지스터의 테스트 패턴 형성 방법(Method for forming a test patten for a transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.11.06,국부적 다마신 구조의 새들핀을 갖는 트랜지스터의 제조방법(METHOD FOR MANUFACTURING TRANSISTOR WITH LOCALDAMASCENE SADDLE FIN),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.07.20,반도체 소자의 트랜지스터 제조 방법(Method for Fabricating Transistor of SemiconductorDevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.06.30,반도체 소자의 트랜지스터 및 그 제조방법(A TRANSISTOR OF SEMICONDUCTOR DEVICE AND METHOD FORMANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.07.05,반도체 소자의 트랜지스터 형성 방법(Method of Forming Transistor of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.06.30,반도체 메모리 소자(MOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.07.03,반도체 소자의 트랜지스터 제조 방법(Method for Manufacturing Transistor of SemiconductorDevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.06.27,반도체 소자의 고전압 트랜지스터(High voltage transistor in a semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.06.29,반도체 장치의 모스트랜지스터(MOS TRANSISTOR OF SEMICONDUCTOR MEMORY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.05.10,반도체소자의 트랜지스터 및 그 형성방법(Transistor of semiconductor device and method forforming the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.05.10,반도체소자의 트랜지스터 및 그 형성방법(Transistor of semiconductor device and method forforming the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.05.02,반도체 소자의 트랜지스터(TRANSISTOR OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.02.03,반도체 소자의 트랜지스터 형성방법(METHOD FOR FORMING TRANSISTOR OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.01.25,반도체 소자의 트랜지스터 제조 방법(Method for Manufacturing Transistor of SemiconductorDevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2006.01.25,반도체소자의 트랜지스터 형성방법(Method for forming transistors of semiconductor devices),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.12.01,반도체 소자의 트랜지스터 형성 방법(FORMING PROCESS FOR TRANSISTOR OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.11.30,개선된 리프레쉬 특성을 가지는 리세스 채널 트랜지스터제조 방법(Manufacturing method for recess channel transistor withimproved refresh characteristics),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),2005.10.26,반도체 소자의 트랜지스터 형성방법(Method for fabricating transistor in semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.08.03,리세스 채널을 갖는 트랜지스터 형성방법(Method for forming transistor with recess channel),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.06.30,반도체 소자의 트랜지스터 형성 방법(Method for Fabricating Transistor of SemiconductorDevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.06.29,스텝게이트를 갖는 반도체 소자의 트랜지스터 및 그 제조방법(TRANSISTOR OF SEMICONDUCTOR DEVICE HAVING STEP-GATE ANDITS MANUFACTURING PROCESS),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),2005.06.30,3차원 트랜지스터 제조를 위한 불균일 이온주입 방법(Method of implanting partially manufacturing threedimension transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.06.30,반도체 소자의 트랜지스터 형성 방법(Method for Fabricating Transistor of SemiconductorDevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.06.30,반도체 소자의 트랜지스터 형성 방법(Method for Forming Transistor of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.06.30,반도체 소자의 트랜지스터 형성 방법(Method for Forming Transistor of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.06.30,반도체 소자의 트랜지스터 형성 방법(Method for Fabricating Transistor of SemiconductorDevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.06.22,향상된 펌핑능력을 갖는 트랜스퍼 모스 트랜지스터(Transfer MOS transistor having increasing pumpingcapability),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.06.07,플래시 메모리 소자의 고전압 트랜지스터 및 제조 방법(High voltage transistor in flash memory device andMethod for fabricating thereof),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2005.03.11,반도체 소자의 CMOS 트랜지스터 및 그 형성방법(CMOS TRANSISTOR OF SEMICONDUCTOR DEVICE AND METHOD FORFORMING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.30,반도체 장치의 트랜지스터 제조방법(Method for Manufacturing Transistor in SemiconductorDevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.30,트랜지스터 형성방법(Method for forming transistor of semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.28,트랜지스터 형성방법(Method for forming transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.28,반도체 소자의 트랜지스터 및 그 제조 방법(Transistor in a semiconductor device and Method ofmanufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.28,트랜지스터 제조방법(Method for forming transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.28,반도체 메모리 소자의 트랜지스터 및 그 제조 방법(TRANSISTOR IN SEMICONDUCTOR MEMORY DEVICE AND METHODFOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.28,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.24,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductoe device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.16,리세스된 채널 트랜지스터 형성방법(Forming process for transistor with recessed chane),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.09,반도체소자의 트랜지스터 형성방법(Method for forming transistor of semiconductor devices),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.12.03,트랜지스터 제조 방법(MANUFACTURING METHOD OF TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.26,MOS 트랜지스터의 제조 방법(Method of fabricating a MOS Transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.17,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.22,반도체 소자의 트랜지스터 형성 방법(METHOD FOR FABRICATING TRANSISTOR OF SEMICONDUCTORDEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.17,반도체 소자의 트랜지스터 제조방법(Method for manufacturing transistor in semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.19,3차원 트랜지스터 및 그의 제조방법(THREE DIMENSION TRANSISTOR AND METHOD FORMANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.15,피모스 트랜지스터의 제조방법(Method for manufacturing PMOS transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.10,반도체 소자의 트랜지스터 제조 방법(METHOD FOR MANUFACTURING TRANSISTOR IN SEMICONDUCTORDEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.05,반도체 소자의 셀 트랜지스터 제조 방법(METHOD FOR MANUFACTURING CELL TRANSISTOR INSEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.11.10,반도체 소자의 셀 트랜지스터 제조 방법(METHOD FOR MANUFACURING CELL TRANSISTOR INSEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.10.19,플래시 메모리의 셀 트랜지스터 제조방법(Method for manufacturing cell transistor of the flashmemory device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2004.10.18,PMOS트랜지스터 제조 방법(METHOD FOR FABRICATING PMOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
