심사진행상태,출원일자,발명의명칭,출원인
등록결정(일반),2004.08.20,트랜지스터 및 그의 제조 방법(TRANSISTOR AND METHOD OF MANUFACTURING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2007.01.24,박막 트랜지스터 표시판(THIN FILM TRANSISTOR ARRAY PANEL),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1995.02.24,폴리실리콘박막트랜지스터액정디스플레이화소부분의엘디디구조및그제조방법(LDD STRUCTURE AND ITS MANUFACTURING METHOD OF POLY SILICONE THIN FILM TRANSISTOR LIQUID CRYSTAL DISPLAY PIXEL PART),삼성전자주식회사(경기도 수원시 영통구...)
원결정유지(심사전치),2004.12.24,박막 트랜지스터 표시판(THIN FILM TRANSISTOR ARRAY PANEL),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),1995.11.09,모스트랜지스터구동용차지펌프회로(CHARGE PUMP CIRCUIT FOR DRIVING MOS TRANSISTOR),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2001.11.22,액정 표시 장치용 박막 트랜지스터 기판(a thin film transistor array panel for a liquidcrystal display),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2011.05.13,절연 게이트 바이폴라 트랜지스터의 제조 방법(MANUFACTURING METHOD FOR INSULATED GATE BIPOLAR TRANSISTOR),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2002.12.09,"박막 트랜지스터 기판, 이의 제조방법, 이를 갖는액정표시장치 및 이의 제조방법(THIN FILM TRANSISTOR SUBSTRATE, METHOD OFMANUFACTURING THE SAME, LIQUID CRYSTAL DISPLAY DEVICEHAVING THE SAME AND METHOD OF MANUFACTURING THE SAME)",삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2003.12.03,표시 장치용 박막 트랜지스터 표시판(thin film transistor array panel for a display),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2014.01.28,튜너블 배리어를 구비한 그래핀 트랜지스터(Graphene transistor including tunable barrier),삼성전자주식회사(경기도 수원시 영통구...)|성균관대학교산학협력단(경기도 수원시 장안구...)
등록결정(일반),2008.07.10,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시 장치(Thin Film Transistor Panel and Liquid Crystal DisplayHaving the Same),삼성디스플레이 주식회사(경기 용인시 기흥구...)
거절결정(일반),2005.01.14,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND MANUFACTURINGMETHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.01.03,다중 도메인 액정 표시 장치용 박막 트랜지스터 표시판(THIN FILM TRANSISTOR ARRAY PANEL FOR MULTI-DOMAINLIQUID CRYSTAL DISPLAY),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2006.08.25,"유기 활성물의 접촉 구조 형성 방법 및 평판 표시 장치의제조 방법, 그리고 유기 박막 트랜지스터 표시판 및 유기발광 표시 장치(METHOD OF OHMIC CONTACT FOR ORGANIC ACTIVE LAYER ANDMETHOD OF MANUFACTURING FLAT PANEL DISPLAY, AND ORGANICTHIN FILM TRANSISTOR DISPLAY AND ORGANIC LIGHTEMITTING DIODE DISPLAY)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2000.03.13,"사진 식각용 장치 및 방법, 그리고 이를 이용한 액정 표시장치용 박막 트랜지스터 기판의 제조 방법(apparatus and method for photolithography, andmanufacturing method for a thin film transistor arraypanel of a liquid crystal display using the same)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.10.18,"박막트랜지스터 기판, 이의 제조방법 및 이를 가지는 액정표시 패널과 이 액정 표시 패널의 제조방법(Thin Transistor Substrate, Method Of Fabricating TheSame, Liquid Crystal Display Having The Same And MethodOf Fabricating Liquid Crystal Display Having The Same)",삼성디스플레이 주식회사(경기 용인시 기흥구...)
원결정유지(심사전치),2004.08.23,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시 장치(THIN FILM TRANSISTOR PANEL AND LIQUID CRYSTAL DISPLAYINCLUDING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),1994.06.13,바이폴라접합트랜지스터제조방법(MANUFACTURING METHOD FOR BIPOLAR JUNCTION TRANSISTOR),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2011.08.01,고 전자 이동도 트랜지스터 및 그 제조방법(High Electron Mobility Transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.03.17,박막 트랜지스터 기판 및 이를 포함하는 표시 장치(THIN FILM TRANSISTOR SUBSTRATE AND DISPLAY DEVICE HAVING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2007.09.17,트랜지스터의 채널로 나노 물질을 이용하는 바이오 센서 및그 제조 방법(Biosensor using nanoscale material as a channel of transistor and method of fabricating the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.01.03,바이폴라 트랜지스터를 갖는 반도체 소자 및 그 형성 방법(SEMICONDUCTOR DEVICES HAVING BIPOLAR TRANSISTOR ANDMETHODS OF FORMING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1994.12.28,반도체장치의트랜지스터및그제조방법(TRANSISTOR OF SEMICONDUCTOR DEVICE AND THEIR MANUFACTURING METHOD),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.07.26,"게이트 전극 구조물과 그 제조 방법 및 이를 갖는 반도체트랜지스터와 그 제조 방법(Gate electrode structure and method of manufacturingthe gate electrode structure, and semiconductortransistor having the gate electrode structure andmethod of manufacturing the semiconductor transistor)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.01.22,박막 트랜지스터 표시판 및 이를 제조하는 방법(Thin film transistor array panel and method for manufacturing the same),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2002.09.16,"다결정용 마스크 및 이를 이용한 박막 트랜지스터의 제조방법(A POLY-CRYSTALLIZATION MASK, AND A METHOD FORMANUFACTURING A THIN FILM TRANSISTOR USING THE MASK)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1998.07.02,모오스트랜지스터제조방법(FABRICATING METHOD OF MOS TRANSISTOR),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.07.21,어레이 기판 및 이를 갖는 표시장치(THIN FILM TRANSISTOR SUBSTRATE AND DISPLAY DEVICEHAVING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.09.17,다중 도메인 박막 트랜지스터 표시판 및 이를 포함하는액정 표시 장치(MULTI-DOMAIN THIN FILM TRANSISTOR ARRAY PANEL ANDLIQUID CRYSTAL DISPLAY INCLUDING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.12.13,평탄화 물질막을 이용한 모스 트랜지스터 및 그 제조방법(MOS transistor using planarizing matter layer andmethod of fabrication the same),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2003.12.06,다결정 실리콘 박막 제조 방법 및 이를 적용한트랜지스터의 제조방법(Fabrication method of poly-crystalline Si Thin Filmand Transistor thereby),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2004.12.17,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시 장치(THIN FILM TRANSISTOR ARRAY PANEL AND LIQUID CRYSTALDISPLAY INCLUDING THE PANEL),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.08.30,다중 채널을 갖는 MOS 트랜지스터의 제조방법(Method of manufacturing MOS transistor havingmulti-channel),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.12.24,박막 트랜지스터 기판(Thin film transistor array substrate),삼성디스플레이 주식회사(경기 용인시 기흥구...)
거절결정(일반),2006.08.28,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FORMANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2008.07.14,박막 트랜지스터 표시판 및 그의 제조 방법(Thin film transistor array panel and method of fabricating the same),삼성디스플레이 주식회사(경기 용인시 기흥구...)
원결정유지(심사전치),2001.08.20,액정 표시 장치용 박막 트랜지스터 기판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL FOR A LIQUID CRYSTALDISPLAY AND A MANUFACTURING METHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2000.05.12,액정 표시 장치용 박막 트랜지스터 기판 및 그 제조 방법(THIN FILM TRANSISTOR SUBSTRATE FOR LIQUID CRYSTALDISPLAY AND MANUFACTURING METHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...)
,2016.11.03,전계효과 트랜지스터 및 그 제조 방법(Field Effect Transistor and Method of fabricating the same),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2004.12.08,박막 트랜지스터 표시판 및 그 제조 방법(Thin film transistor array panel and method formanufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.09.04,박막 트랜지스터 표시판(THIN FILM TRANSISTOR ARRAY PANEL),삼성전자주식회사(경기도 수원시 영통구...)
원결정유지(심사전치),2001.04.30,자기정렬 실리사이드 기술을 사용하는 모스 트랜지스터의제조방법(Method of fabricating MOS transistor usingself-aligned silicide technique),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1995.10.16,트렌치DMOS트랜지스터와그의제조방법(A TRENCH DMOS TRANSISTOR AND METHOD OF MAKING THE SAME OF),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2018.10.18,전력 MOS 트랜지스터를 포함하는 반도체 소자(Semiconductor Device having a power metal-oxide-silicon transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.07.08,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시 장치(THIN FILM TRANSISTOR ARRAY PANEL AND LIQUID CRYSTALDISPLAY INCLUDING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.12.13,"박막 트랜지스터 기판, 이를 갖는 액정표시장치(THIN FILM TRANSISTOR SUBSTRATE AND LIQUID CRYSTAL DISPLAY APPARATUS)",삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2005.10.05,박막 트랜지스터 표시판(THIN FILM TRANSISTOR ARRAY PANEL),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2006.09.05,수직 채널 구조를 가지는 트랜지스터를 구비하는 반도체메모리 장치(Semiconductor memory device comprising transistor ofvertical channel structure),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2008.11.12,트랜지스터 어레이의 전기적 특성변화를 보상할 수 있는 반도체 장치(SEMICONDUCTOR DEVICE CAPABLE OF COMPENSATING ELECTRONIC CHARACTERISTIC CHANGEOF TRANSISTOR ARRAY),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2003.06.10,"반도체 소자용 배선 및 그의 제조 방법과 이를 포함하는박막 트랜지스터 표시판 및 그의 제조 방법(WIRING FOR SEMICONDUCTOR DEVICE, METHOD FORMANUFACTURING THE WIRING, THIN FILM TRANSISTOR ARRAYPANEL INCLUDING THE WIRING, AND METHOD FORMANUFACTURING THE PANEL)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1995.10.31,콘택층을가지는박막트랜지스터및그제조방법(THIN FILM TRANSISTOR HAVING CONTACT LAYER AND MAKING METHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2008.06.03,박막 트랜지스터 기판 및 이를 표함하는 표시 장치(THIN FILM TRANSISTOR SUBSTRATE AND DISPLAY DEVICE HAVING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2008.08.11,"박막 트랜지스터 표시판, 이를 포함하는 액정 표시 장치, 그리고 액정 표시 장치의 제조 방법(Thin Film Transistor Display Panel, Liquid Crystal Display Having the Same, and Method of Manufacturing Liquid Crystal Display)",삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2008.06.09,"박막 트랜지스터 기판, 이의 제조 방법, 및 이를 갖는 표시장치(THIN FILM TRANSISTOR SUBSTRATE, METHOD OF MANUFACTURING THE SAME, AND DISPLAY APPARATUS HAVING THE SAME)",삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2009.10.28,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2006.12.15,NMOS 및 PMOS 트랜지스터의 캐리어 이동도를향상시키는 고응력 특성을 갖는 절연막을 이용하는CMOS 집적 회로 및 이의 제조 방법(CMOS integrated circuits that utilize insulating layers with high stress characteristics to improve NMOS and PMOS transistor carrier mobilities and methods of forming same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.02.07,메모리 기능을 갖는 단전자 트랜지스터 및 그 제조방법(Single electron transistor having memory function andmethod for manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.02.24,핀 전계 효과 트랜지스터 및 이의 형성 방법(Fin field effect transistor and method of forming the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.09.26,반도체 장치의 트랜지스터 구조체 및 그 제조 방법(Transistor Structure For Semiconductor Device AndMethod Of Fabricating The Same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2000.07.31,"표시 소자용 배선 및 이를 이용한 박막 트랜지스터 기판및 그 제조 방법(WIRE FOR DISPLAY, THIN FILM TRANSISTOR USING THE WIREAND FABRICATING METHOD THEREOF)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.06.26,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시장치의 수리 방법(thin film transistor array panel and method forrepairing liquid crystal display including the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.10.12,박막 트랜지스터 기판의 제조 방법(METHOD OF MANUFACTURING THIN FILM TRANSISTOR SUBSTRATE),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(심사전치후),2005.05.31,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FORMANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2004.07.12,전체실리사이드 금속게이트전극을 갖는 모스 트랜지스터의제조방법(Method of forming a MOS transistor having fullysilicided metal gate electrode),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1995.06.15,초고속쌍극성트랜지스터의제조방법(METHOD OF MANUFACTURING HIGH-SPEED BIPOLAR JUNCTION TRANSISTOR),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.02.01,전체실리사이드 금속게이트전극을 갖는 모스 트랜지스터의제조방법(Method of forming a MOS transistor having fullysilicided metal gate electrode),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.06.04,액정 디스플레이를 위한 대안적인 박막 트랜지스터(ALTERNATIVE THIN FILM TRANSISTORS FOR LIQUID CRYSTALDISPLAYS),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2004.11.09,박막 트랜지스터 표시판 및 그 제조 방법(Thin film transistor array panel and method formanufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2009.01.30,"표시판, 박막 트랜지스터 표시판 및 기판의 수리 방법(PANEL, THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR REPAIRING PANEL)",삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(취소환송후),2004.12.07,"표시 장치용 배선, 상기 배선을 포함하는 박막 트랜지스터표시판 및 그 제조 방법(Wiring for display device, thin film transistor arraypanel comprising the wiring and method formanufacturing the same)",삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),1996.11.13,채널 보호형 박막 트랜지스터 기판(CHANNEL PROTECTION TYPE THIN FILM TRANSISTOR SUBSTRATE),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.08.22,트랜지스터의 게이트 및 그 형성 방법.(Gate of transistor and method for forming the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),1999.08.12,수리선을 가지는 액정 표시 장치용 박막 트랜지스터 기판(THIN FILM TRANSISTOR ARRAY PANEL FOR LIQUID CRYSTAL DISPLAY HAVING REPAIR LINES),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2002.08.14,모스 트랜지스터의 제조 방법(Method of fabricating MOS transistors),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1995.11.30,바이시모스트랜지스터및그제조방법(BIPOLAR COMPLEMENTARY METAL OXIDE SEMICONDUCTOR TRANSISTOR AND METHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.09.12,박막 트랜지스터 기판 및 이의 제조 방법(Thin film transistor substrate and method of fabricating the same),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2005.08.09,벌크 웨이퍼 기판에 형성된 트랜지스터의 구동 방법(Method of operating transistor formed in bulk wafersubstrate),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2002.06.25,"배선용 식각액, 이를 이용한 배선의 제조 방법, 그 배선을포함하는 박막 트랜지스터 어레이 기판 및 그의 제조 방법(an etchant for a wiring, a method for manufacturingthe wiring, a thin film transistor array panelincluding the wiring, and a method for manufacturingthe same including the method)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1995.08.25,액정표시장치용박막트랜지스터및그제조방법(THIN FILM TRANSISTOR FOR LCD),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2004.12.13,박막 트랜지스터 표시판(THIN FILM TRANSISTOR ARRAY PANEL FOR DISPLAY DEVICE),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.11.30,정전기 방전 특성을 고려한 전계효과 트랜지스터의 모델링회로(MODELING CIRCUIT OF A FIELD EFFECT TRANSISTOR CONSIDERING ELECTROSTATIC-DISCHARGE CHARACTERISTIC),삼성전자주식회사(경기도 수원시 영통구...)
원결정유지(심사전치),2001.09.28,저유전율 절연막을 사용하는 박막 트랜지스터 기판 및 그제조 방법(A THIN FILM TRANSISTOR SUBSTRATE OF USING INSULATINGLAYERS HAVING LAW DIELECTRIC CONSTANT AND A METHOD OFMANUFACTURING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.07.25,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR SUBSTRATE AND METHOD FOR MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2008.07.28,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시 장치(ThinFilm Transistor Display Panel and Liquid Crystal Display Having the Same),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2007.08.14,보호막 형성용 조성물 및 이에 의한 보호막을 포함한유기박막 트랜지스터(Composition for forming Passivation layer and Organic thin film transistor comprising Passivation layer),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2005.05.02,박막 트랜지스터 기판(THIN FILM TRANSISTOR SUBSTRATE),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2005.05.16,박막 트랜지스터 표시판(Thin film transistor array panel),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.01.07,박막 트랜지스터 기판 및 박막 트랜지스터 기판의금속배선 형성방법(THIN FILM TRANSISTOR SUBSTRATE AND METAL WIRING METHODTHEREOF),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1996.02.21,폴리 실리콘 박막 트랜지스터의 제조방법(FABRICATION METHOD OF POLYSILICON THIN FILM TRANSISTOR),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2004.12.17,"박막 트랜지스터 표시판 및 그의 제조 방법(Thin film transistor array panel, and method formanufacturing the panel)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.11.21,게이트 씨닝을 방지할 수 있는 씨모스 트랜지스터의제조방법(Method for forming C-MOS transistor preventing a gatethinning),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.03.08,트랜지스터 및 그 제조 방법(Transistor and Method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2011.05.03,고효율 질화계 이종접합 전계효과 트랜지스터(NITRIDE―BASED HETEROSTRUCTURE FIELD EFFECT TRANSISTOR HAVING HIGH EFFICIENCY),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1996.02.21,고전압 트랜지스터 및 그의 제조방법(HIGH VOLTAGE TRANSISTOR AND METHOD OF MANUFACTURING THEREOF),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2009.07.06,박막 트랜지스터 표시판 및 이의 제조 방법(Thin film transistor substrate and method of fabricating thereof),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2005.09.07,"박막 트랜지스터 표시판 및 이를 포함하는 표시 장치,그리고 표시 장치의 수리 방법(THIN FILM TRANSISTOR ARRAY PANEL AND DISPLAY DEVICEINCLUDING THE SAME, AND REPAIRING METHOD OF DISPLAYDEVICE)",삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2003.12.03,돌출된 형태의 채널을 갖는 모스 트랜지스터 및 그 제조방법(MOS transistor having protruded-shape channel andfabrication method thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.09.12,"최적화된 채널 면 방위를 갖는 모스 트랜지스터들, 이를구비하는 반도체 소자들 및 그 제조방법들(MOS transistors having an optimized channel planeorientation, semiconductor devices including the sameand methods of fabricating the same)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.11.24,완충층을 포함하는 유기박막 트랜지스터(Organic Thin Film Transistor Containing Buffer Layer),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.04.18,게이트 캐패시턴스를 감소시킬 수 있는 트랜지스터(Transistor decreasing gate capacitance),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.10.02,오버 슈트 전압의 산출 방법 및 그를 이용한 게이트 절연막열화분석방법(Method for producing overshoot voltage supplied at transistor and gate insulation degradation analysis used the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2002.11.20,박막 트랜지스터 어레이 기판(thin film transistor array panel),삼성전자주식회사(경기도 수원시 영통구...)
원결정유지(심사전치),2008.12.17,포토레지스트 박리제 조성물 및 박막 트랜지스터 어레이 기판의 제조 방법(Composition for photoresist stripper and method of fabricating thin film transistor array substrate),삼성디스플레이 주식회사(경기 용인시 기흥구...)|주식회사 동진쎄미켐(인천광역시 서구...)
등록결정(일반),2003.03.10,선택 트랜지스터를 갖는 이이피롬 및 그 제조방법(EEPROM HAVING SELECTION TRANSISTORS AND METHOD OFFABRICATING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.01.27,3차원 에스램 셀 트랜지스터들을 갖는 테스트 소자 그룹구조체들(Test element group structures having 3 dimensionalSRAM cell transistors),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2005.01.07,신규한 티오펜-티아졸 유도체 및 이를 이용한 유기박막트랜지스터(Novel Thiophene-Thiazole Derivatives and Organic ThinFilm Transistor using the Same),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2013.06.10,"불소를 포함하는 징크 타겟, 이를 이용한 징크 나이트라이드 박막의 제조방법 및 박막 트랜지스터 제조방법(Zinc target including fluroride, method of fabricationg zinc nitride thin film using the same and method of fabricating thin film transistor using the same)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.04.15,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),1996.04.09,에스. 오. 아이형 트랜지스터 및 그 제조방법(SOI TRANSISTOR AND ITS FABRICATION METHOD),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),1996.12.28,DMOS 트랜지스터 제조방법(METHOD FOR FABRICATING TRANSISTOR),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2008.08.18,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR MANUFACTURING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
원결정유지(심사전치),2006.07.18,박막 트랜지스터 어레이 기판(Thin film transistor array panel),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2002.07.10,한 개의 트랜지스터와 데이터 저장 수단으로 한 개의저항체를구비하는 메모리 소자 및 그 구동 방법(Memory device having one transistor and one resistantmaterial as data storing means and method of drivingthe same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2001.08.07,액정 표시 장치(a thin film transistor array for a liquid crystal display),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2007.07.04,박막 트랜지스터 표시판 및 이를 포함하는 표시 장치(THIN FILM TRANSISTOR ARRAY PANEL AND DISPLAY APPRATUS HAVING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2007.06.14,박막 트랜지스터 표시판 및 그의 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND MANUFACTURING METHOD THEREOF),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2002.12.11,X-ray 검출기용 박막 트랜지스터 어레이 기판(a thin film transistor array panel for X-ray detectorand a method for manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.11.21,박막 트랜지스터 기판 및 그 제조방법(THIN FILM TRANSISTOR SUBSTRATE AND METHOD FOR FABRICATING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
취하(심사미청구),2007.02.21,박막 트랜지스터 기판 및 이의 제조 방법(THIN FILM TRANSISTOR SUBSTRATE AND FABRICATING METHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.02.25,휘발성 반도체 메모리의 제조공정에서 제조된 불휘발성메모리 셀 트랜지스터를 퓨즈소자로서 갖는 반도체 집적회로장치(semiconductor intergrated circuit having non-volatilememory cell transistor fabricated by volatilesemiconductor memory process as fuse device),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.03.02,물성 변환층을 이용한 트랜지스터와 그 동작 및 제조 방법(Transistor using property of matter transforming layerand methods of operating and manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
취하(심사미청구),2006.02.09,박막 트랜지스터 표시판 및 그 제조 방법(Thin film transistor plate and method for fabricatingthe same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.07.15,배선 구조와 배선 형성 방법 및 박막 트랜지스터 기판과 그제조 방법(Wire and method for fabricating interconnection lineand thin film transistor substrate and method forfabricating the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2002.10.18,반도체 장치의 트랜지스터 제조 방법(Method of manufacturing the transistor insemiconductor device),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),2001.12.10,"박막 트랜지스터 기판 및 그의 제조 방법과 액정 표시 장치(THIN FILM TRANSISTOR SUBSTRATE, FABRICATING METHODTHEREOF AND LIQUID CRYSTAL DISPLAY)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.09.25,스트레스 인가 모스 트랜지스터를 갖는 반도체소자의제조방법 및 그에 의해 제조된 반도체소자(Method of fabricating semiconductor device havingstress enhanced MOS transistor and semiconductor devicefabricated thereby),삼성전자주식회사(경기도 수원시 영통구...)
